Date,Description,Money in,Money out
08/09/2023,0,0.0,20.0
08/09/2023,BILL PAYMENT VIA FASTER £ 30.35,0.0,30.35
09/01/2024,CARD PAYMENT TO Resume.io ON £ 1.95,0.0,1.95
09/01/2024,"COSTA COFFEE (VIA APPLE PAY), £ 4.25",0.0,4.25
09/01/2024,MEGA ORGANIX & COFFEE (VIA £ 3.20,0.0,3.2
09/01/2024,"TINTICO (VIA APPLE PAY), ON £ 3.30",0.0,3.3
09/01/2024,0,0.0,4.7
09/02/2024,TESCO STORES 2544 (VIA APPLE £ 3.90,0.0,3.9
09/02/2024,BILL PAYMENT VIA FASTER £ 1.00,0.0,1.0
09/05/2024,UNCLE TONYS TAVERNA (VIA £ 20.00,0.0,20.0
09/05/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 7.60",0.0,7.6
09/05/2024,LINA STORES SOUTH KENS (VIA £ 5.00,0.0,5.0
09/06/2024,0,115.0,0.0
09/06/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 6.40",0.0,6.4
09/06/2024,MEDI FOOD CENTRE (VIA APPLE £ 3.67,0.0,3.67
09/06/2024,TRUE CHICKEN LTD (VIA APPLE £ 8.49,0.0,8.49
09/06/2024,0,0.0,0.3
09/06/2024,TESCO STORES 2544 (VIA APPLE £ 31.09,0.0,31.09
09/06/2024,UNCLE TONYS TAVERNA (VIA £ 17.20,0.0,17.2
09/08/2023,TRANSFER TO MR LEFTERIS £ 15.00,0.0,15.0
09/09/2023,BILL PAYMENT VIA FASTER £ 110.00,0.0,110.0
09/09/2023,TRANSFER TO MR LEFTERIS £ 17.00,0.0,17.0
10/01/2024,TESCO STORES 2544 (VIA APPLE £ 2.85,0.0,2.85
10/01/2024,"COSTA COFFEE (VIA APPLE PAY), £ 2.65",0.0,2.65
10/02/2024,"COSTA COFFEE (VIA APPLE PAY), £ 4.25",0.0,4.25
10/02/2024,TESCO STORES 2544 (VIA APPLE £ 3.90,0.0,3.9
10/02/2024,"COSTA COFFEE (VIA APPLE PAY), £ 4.35",0.0,4.35
10/02/2024,"STARBUCKS (VIA APPLE PAY), ON £ 5.20",0.0,5.2
10/02/2024,"COSTA COFFEE (VIA APPLE PAY), £ 4.25",0.0,4.25
10/02/2024,TESCO STORES 2544 (VIA APPLE £ 4.15,0.0,4.15
10/04/2024,SQ *CAFE DE NATA - SOU (VIA £ 3.45,0.0,3.45
10/04/2024,0,145.0,0.0
10/05/2024,CARD PAYMENT TO PAYPAL £ 18.77,0.0,18.77
10/05/2024,TESCO STORES 2544 (VIA APPLE £ 12.33,0.0,12.33
10/05/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 4.95",0.0,4.95
10/05/2024,MEDI FOOD CENTRE (VIA APPLE £ 2.29,0.0,2.29
10/05/2024,0,50.0,0.0
10/06/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 6.40",0.0,6.4
10/08/2023,TRANSFER TO MR LEFTERIS £ 11.00,0.0,11.0
10/08/2023,BILL PAYMENT VIA FASTER £ 20.00,0.0,20.0
10/09/2023,TRANSFER TO MR LEFTERIS £ 50.00,0.0,50.0
10/09/2023,BILL PAYMENT VIA FASTER £ 20.00,0.0,20.0
10/09/2023,TRANSFER TO MR LEFTERIS £ 6.00,0.0,6.0
11/01/2024,BILL PAYMENT VIA FASTER £ 2.00,0.0,2.0
11/01/2024,"COSTA COFFEE (VIA APPLE PAY), £ 4.25",0.0,4.25
11/01/2024,"TINTICO (VIA APPLE PAY), ON £ 6.60",0.0,6.6
11/01/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 3.80",0.0,3.8
11/01/2024,CARD PAYMENT TO REMITLY ON £ 217.99,0.0,217.99
11/04/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 7.60",0.0,7.6
11/04/2024,MEDI FOOD CENTRE (VIA APPLE £ 3.67,0.0,3.67
11/04/2024,TESCO STORES 2544 (VIA APPLE £ 19.85,0.0,19.85
11/04/2024,TESCO STORES 2544 (VIA APPLE £ 5.70,0.0,5.7
11/04/2024,CARD PAYMENT TO AMAZON* £ 28.98,0.0,28.98
11/05/2024,TESCO STORES 2544 (VIA APPLE £ 6.15,0.0,6.15
11/05/2024,TESCO STORES 2544 (VIA APPLE £ 8.20,0.0,8.2
11/05/2024,SUMUP *DURUM OCAKBASI (VIA £ 15.00,0.0,15.0
11/06/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 7.60",0.0,7.6
11/06/2024,MEDI FOOD CENTRE (VIA APPLE £ 3.47,0.0,3.47
11/06/2024,DURUM OCAKBASI RESTAUR (VIA £ 20.00,0.0,20.0
